horsepower,curb-weight,engine-size,highway-mpg,price,length,width,bore,wheel-base,city-mpg
58,1713,92,54,6479.0,0.6948582412301778,0.8875,2.91,86.6,49
76,1819,92,38,6855.0,0.6948582412301778,0.8875,2.91,86.6,31
60,1837,79,42,5399.0,0.7208073041806824,0.8888888888888888,2.91,93.7,38
76,1940,92,34,6529.0,0.7208073041806824,0.8888888888888888,2.91,93.7,30
76,1956,92,34,7129.0,0.7208073041806824,0.8888888888888888,2.91,93.7,30
76,2010,92,34,7295.0,0.7851994233541567,0.8888888888888888,2.91,96.5,30
76,2024,92,34,7295.0,0.754925516578568,0.8875,2.92,96.5,30
86,2236,110,33,7895.0,0.8049014896684287,0.9055555555555556,3.15,96.5,27
86,2289,110,33,9095.0,0.8049014896684287,0.9055555555555556,3.15,96.5,27
86,2304,110,33,8845.0,0.8428640076886112,0.9055555555555556,3.15,96.5,27
86,2372,110,33,10295.0,0.8428640076886112,0.8680555555555556,3.15,96.5,27
101,2465,110,28,12945.0,0.8428640076886112,0.9055555555555556,3.15,96.5,24
100,2293,110,31,10345.0,0.8125901009130225,0.9166666666666666,3.15,96.5,25
78,2337,111,29,6785.0,0.8202787121576165,0.8583333333333333,3.31,94.3,24
90,2734,119,29,11048.0,0.8294089380105718,0.9055555555555556,3.43,96.0,24
176,4066,258,19,32250.0,0.9591542527630946,0.9666666666666666,3.63,113.0,15
176,4066,258,19,35550.0,0.9591542527630946,0.9666666666666666,3.63,113.0,15
262,3950,326,17,36000.0,0.921191734742912,0.9805555555555555,3.54,102.0,13
68,1890,91,31,5195.0,0.7645362806343105,0.8916666666666667,3.03,93.1,30
68,1900,91,38,6095.0,0.7645362806343105,0.8916666666666667,3.03,93.1,31
68,1905,91,38,6795.0,0.7645362806343105,0.8916666666666667,3.03,93.1,31
68,1945,91,38,6695.0,0.8015377222489188,0.8916666666666667,3.03,93.1,31
68,1950,91,38,7395.0,0.8015377222489188,0.8916666666666667,3.08,93.1,31
101,2380,70,23,10945.0,0.8121095627102355,0.9125000000000001,3.3297512437810943,95.3,17
101,2380,70,23,11845.0,0.8121095627102355,0.9125000000000001,3.3297512437810943,95.3,17
101,2385,70,23,13645.0,0.8121095627102355,0.9125000000000001,3.3297512437810943,95.3,17
135,2500,80,23,15645.0,0.8121095627102355,0.9125000000000001,3.3297512437810943,95.3,16
84,2385,122,32,8845.0,0.8543969245555022,0.9236111111111112,3.39,98.8,26
84,2410,122,32,8495.0,0.8543969245555022,0.9236111111111112,3.39,98.8,26
84,2385,122,32,10595.0,0.8543969245555022,0.9236111111111112,3.39,98.8,26
84,2410,122,32,10245.0,0.8543969245555022,0.9236111111111112,3.39,98.8,26
64,2443,122,42,10795.0,0.8543969245555022,0.9236111111111112,3.39,98.8,36
84,2425,122,32,11245.0,0.8543969245555022,0.9236111111111112,3.39,98.8,26
120,2670,140,27,18280.0,0.8409418548774628,0.9180555555555555,3.76,104.9,19
72,2700,134,39,18344.0,0.8409418548774628,0.9180555555555555,3.43,104.9,31
123,3515,183,25,25552.0,0.9173474291206152,0.9763888888888889,3.58,110.0,22
123,3750,183,25,28248.0,0.9173474291206152,0.9763888888888889,3.58,110.0,22
123,3495,183,25,28176.0,0.9010091302258529,0.9763888888888889,3.58,106.7,22
123,3770,183,25,31600.0,0.9735703988467083,0.9958333333333333,3.58,115.6,22
155,3740,234,18,34184.0,0.9735703988467083,0.9958333333333333,3.46,115.6,16
155,3685,234,18,35056.0,0.8664103796251803,0.9791666666666666,3.46,96.6,16
184,3900,308,16,40960.0,1.0,0.9958333333333333,3.8,120.9,14
184,3715,304,16,45400.0,0.9572320999519461,1.0,3.8,112.0,14
175,2910,140,24,16503.0,0.857280153772225,0.9444444444444444,3.78,102.7,19
68,1918,92,41,5389.0,0.7558865929841423,0.8944444444444445,2.97,93.7,37
68,1944,92,38,6189.0,0.7558865929841423,0.8944444444444445,2.97,93.7,31
68,2004,92,38,6669.0,0.7558865929841423,0.8944444444444445,2.97,93.7,31
102,2145,98,30,7689.0,0.7558865929841423,0.8861111111111111,3.03,93.0,24
116,2370,110,30,9959.0,0.8313310908217203,0.9083333333333334,3.17,96.3,23
88,2328,122,32,8499.0,0.8313310908217203,0.9083333333333334,3.35,96.3,25
145,2833,156,24,12629.0,0.8322921672272945,0.9208333333333333,3.58,95.9,19
145,2921,156,24,14869.0,0.8322921672272945,0.9208333333333333,3.59,95.9,19
145,2926,156,24,14489.0,0.8322921672272945,0.9208333333333333,3.59,95.9,19
88,2365,122,32,6989.0,0.8284478616049976,0.9083333333333334,3.35,96.3,25
88,2405,122,32,8189.0,0.8284478616049976,0.9083333333333334,3.35,96.3,25
116,2403,110,30,9279.0,0.8284478616049976,0.9083333333333334,3.17,96.3,23
116,2403,110,30,9279.0,0.8284478616049976,0.9083333333333334,3.17,96.3,23
69,1889,97,37,5499.0,0.794329649207112,0.8861111111111111,3.15,94.5,31
55,2017,103,50,7099.0,0.794329649207112,0.8861111111111111,2.99,94.5,45
69,1918,97,37,6649.0,0.794329649207112,0.8861111111111111,3.15,94.5,31
69,1938,97,37,6849.0,0.794329649207112,0.8861111111111111,3.15,94.5,31
69,2024,97,37,7349.0,0.8178760211436809,0.8861111111111111,3.15,94.5,31
69,1951,97,37,7299.0,0.794329649207112,0.8861111111111111,3.15,94.5,31
69,2028,97,37,7799.0,0.7957712638154734,0.8861111111111111,3.15,94.5,31
69,1971,97,37,7499.0,0.794329649207112,0.8861111111111111,3.15,94.5,31
69,2037,97,37,7999.0,0.8178760211436809,0.8861111111111111,3.15,94.5,31
69,2008,97,37,8249.0,0.7803940413262855,0.8861111111111111,3.15,95.1,31
97,2324,120,34,8949.0,0.8332532436328689,0.9055555555555556,3.33,97.2,27
97,2302,120,34,9549.0,0.8332532436328689,0.9055555555555556,3.33,97.2,27
152,3095,181,22,13499.0,0.8731379144641999,0.9236111111111112,3.43,100.4,17
152,3296,181,22,14399.0,0.8870735223450265,0.9236111111111112,3.43,100.4,17
152,3060,181,25,13499.0,0.8870735223450265,0.9236111111111112,3.43,100.4,19
160,3071,181,25,17199.0,0.8202787121576165,0.9430555555555556,3.43,91.3,19
200,3139,181,23,19699.0,0.8202787121576165,0.9430555555555556,3.43,91.3,17
160,3139,181,25,18399.0,0.857760691975012,0.9430555555555556,3.43,99.2,19
97,3020,120,24,11900.0,0.897164824603556,0.9500000000000001,3.46,107.9,19
95,3197,152,33,13200.0,0.897164824603556,0.9500000000000001,3.7,107.9,28
97,3230,120,24,12440.0,0.9557904853435849,0.9500000000000001,3.46,114.2,19
95,3430,152,25,13860.0,0.9557904853435849,0.9500000000000001,3.7,114.2,25
95,3075,120,24,15580.0,0.897164824603556,0.9500000000000001,3.46,107.9,19
95,3252,152,33,16900.0,0.897164824603556,0.9500000000000001,3.7,107.9,28
95,3285,120,24,16695.0,0.9557904853435849,0.9500000000000001,3.46,114.2,19
95,3485,152,25,17075.0,0.9557904853435849,0.9500000000000001,3.7,114.2,25
97,3075,120,24,16630.0,0.897164824603556,0.9500000000000001,3.46,107.9,19
95,3252,152,33,17950.0,0.897164824603556,0.9500000000000001,3.7,107.9,28
142,3130,134,24,18150.0,0.897164824603556,0.9486111111111111,3.61,108.0,18
68,1918,90,41,5572.0,0.7558865929841423,0.8861111111111111,2.97,93.7,37
102,2128,98,30,7957.0,0.7558865929841423,0.8861111111111111,3.03,93.7,24
68,1967,90,38,6229.0,0.7558865929841423,0.8861111111111111,2.97,93.7,31
68,1989,90,38,6692.0,0.8039404132628545,0.8861111111111111,2.97,93.7,31
68,2191,98,38,7609.0,0.8039404132628545,0.8861111111111111,2.97,93.7,31
88,2535,122,30,8921.0,0.8390197020663143,0.8972222222222221,3.35,103.3,24
145,2818,156,24,12764.0,0.8322921672272945,0.9208333333333333,3.59,95.9,19
143,2778,151,27,22018.0,0.8116290245074483,0.9486111111111111,3.94,94.5,19
207,2756,194,25,32528.0,0.8116290245074483,0.9027777777777778,3.74,89.5,17
207,2756,194,25,34028.0,0.8116290245074483,0.9027777777777778,3.74,89.5,17
207,2800,194,25,37028.0,0.8116290245074483,0.9027777777777778,3.74,89.5,17
104,2579,132,31,9295.0,0.8721768380586257,0.9236111111111112,3.46,96.1,23
104,2460,132,31,9895.0,0.849591542527631,0.9249999999999999,3.46,96.1,23
110,2658,121,28,11850.0,0.8966842864007688,0.9236111111111112,3.54,99.1,21
110,2695,121,28,12170.0,0.8966842864007688,0.9236111111111112,3.54,99.1,21
110,2707,121,28,15040.0,0.8966842864007688,0.9236111111111112,2.54,99.1,21
110,2758,121,28,15510.0,0.8966842864007688,0.9236111111111112,3.54,99.1,21
160,2808,121,26,18150.0,0.8966842864007688,0.9236111111111112,3.54,99.1,19
160,2847,121,26,18620.0,0.8966842864007688,0.9236111111111112,3.54,99.1,19
69,2050,97,36,5118.0,0.7539644401729938,0.8805555555555555,3.62,93.7,31
73,2120,108,31,7053.0,0.758769822200865,0.8833333333333333,3.62,93.7,26
73,2240,108,31,7603.0,0.7558865929841423,0.8861111111111111,3.62,93.3,26
82,2145,108,37,7126.0,0.8265257087938491,0.9083333333333334,3.62,97.2,32
82,2190,108,33,7775.0,0.8265257087938491,0.9083333333333334,3.62,97.2,28
94,2340,108,32,9960.0,0.8265257087938491,0.9083333333333334,3.62,97.2,26
82,2385,108,25,9233.0,0.8265257087938491,0.9083333333333334,3.62,97.0,24
111,2510,108,29,11259.0,0.8265257087938491,0.9083333333333334,3.62,97.0,24
82,2290,108,32,7463.0,0.8337337818356559,0.9083333333333334,3.62,97.0,28
94,2455,108,31,10198.0,0.8337337818356559,0.9083333333333334,3.62,97.0,25
82,2420,108,29,8013.0,0.8342143200384431,0.9083333333333334,3.62,96.9,23
111,2650,108,23,11694.0,0.8342143200384431,0.9083333333333334,3.62,96.9,23
62,1985,92,39,5348.0,0.762614127823162,0.8833333333333333,3.05,95.7,35
62,2040,92,38,6338.0,0.762614127823162,0.8833333333333333,3.05,95.7,31
62,2015,92,38,6488.0,0.762614127823162,0.8833333333333333,3.05,95.7,31
62,2280,92,37,6918.0,0.8154733301297453,0.8833333333333333,3.05,95.7,31
62,2290,92,32,7898.0,0.8154733301297453,0.8833333333333333,3.05,95.7,27
62,3110,92,32,8778.0,0.8154733301297453,0.8833333333333333,3.05,95.7,27
70,2081,98,37,6938.0,0.7991350312349833,0.8944444444444445,3.19,95.7,30
70,2109,98,37,7198.0,0.7991350312349833,0.8944444444444445,3.19,95.7,30
56,2275,110,36,7898.0,0.7991350312349833,0.8944444444444445,3.27,95.7,34
56,2275,110,47,7788.0,0.7991350312349833,0.8944444444444445,3.27,95.7,38
70,2094,98,47,7738.0,0.7991350312349833,0.8944444444444445,3.19,95.7,38
70,2122,98,34,8358.0,0.7991350312349833,0.8944444444444445,3.19,95.7,28
70,2140,98,34,9258.0,0.7991350312349833,0.8944444444444445,3.19,95.7,28
70,2169,98,34,8058.0,0.810667948101874,0.8888888888888888,3.19,94.5,29
70,2204,98,34,8238.0,0.810667948101874,0.8888888888888888,3.19,94.5,29
112,2265,98,29,9298.0,0.810667948101874,0.8888888888888888,3.24,94.5,26
112,2300,98,29,9538.0,0.810667948101874,0.8888888888888888,3.24,94.5,26
116,2540,146,30,8449.0,0.8467083133109082,0.911111111111111,3.62,98.4,24
116,2536,146,30,9639.0,0.8467083133109082,0.911111111111111,3.62,98.4,24
116,2551,146,30,9989.0,0.8467083133109082,0.911111111111111,3.62,98.4,24
116,2679,146,30,11199.0,0.8467083133109082,0.911111111111111,3.62,98.4,24
116,2714,146,30,11549.0,0.8467083133109082,0.911111111111111,3.62,98.4,24
116,2975,146,30,17669.0,0.8467083133109082,0.911111111111111,3.62,98.4,24
92,2326,122,34,8948.0,0.8438250840941854,0.9236111111111112,3.31,102.4,29
73,2480,110,33,10698.0,0.8438250840941854,0.9236111111111112,3.27,102.4,30
92,2414,122,32,9988.0,0.8438250840941854,0.9236111111111112,3.31,102.4,27
92,2414,122,32,10898.0,0.8438250840941854,0.9236111111111112,3.31,102.4,27
92,2458,122,32,11248.0,0.8438250840941854,0.9236111111111112,3.31,102.4,27
161,2976,171,24,16558.0,0.8817876021143681,0.9402777777777778,3.27,102.9,20
161,3016,171,24,15998.0,0.8817876021143681,0.9402777777777778,3.27,102.9,19
156,3131,171,24,15690.0,0.9024507448342144,0.9236111111111112,3.27,104.5,20
156,3151,161,24,15750.0,0.9024507448342144,0.9236111111111112,3.27,104.5,19
52,2261,97,46,7775.0,0.8250840941854877,0.9097222222222222,3.01,97.3,37
85,2209,109,34,7975.0,0.8250840941854877,0.9097222222222222,3.19,97.3,27
52,2264,97,46,7995.0,0.8250840941854877,0.9097222222222222,3.01,97.3,37
85,2212,109,34,8195.0,0.8250840941854877,0.9097222222222222,3.19,97.3,27
85,2275,109,34,8495.0,0.8250840941854877,0.9097222222222222,3.19,97.3,27
68,2319,97,42,9495.0,0.8250840941854877,0.9097222222222222,3.01,97.3,37
100,2300,109,32,9995.0,0.8250840941854877,0.9097222222222222,3.19,97.3,26
90,2254,109,29,11595.0,0.7654973570398848,0.8916666666666667,3.19,94.5,24
90,2221,109,29,9980.0,0.7962518020182604,0.8888888888888888,3.19,94.5,24
110,2661,136,24,13295.0,0.865929841422393,0.9291666666666667,3.19,100.4,19
68,2579,97,38,13845.0,0.865929841422393,0.9291666666666667,3.01,100.4,33
88,2563,109,31,12290.0,0.8798654493032196,0.9291666666666667,3.19,100.4,25
114,2912,141,28,12940.0,0.9072561268620856,0.9333333333333333,3.78,104.3,23
114,3034,141,28,13415.0,0.9072561268620856,0.9333333333333333,3.78,104.3,23
114,2935,141,28,15985.0,0.9072561268620856,0.9333333333333333,3.78,104.3,24
114,3042,141,28,16515.0,0.9072561268620856,0.9333333333333333,3.78,104.3,24
162,3045,130,22,18420.0,0.9072561268620856,0.9333333333333333,3.62,104.3,17
162,3157,130,22,18950.0,0.9072561268620856,0.9333333333333333,3.62,104.3,17
114,2952,141,28,16845.0,0.9072561268620856,0.9569444444444445,3.78,109.1,23
160,3049,141,25,19045.0,0.9072561268620856,0.9555555555555555,3.78,109.1,19
134,3012,173,23,21485.0,0.9072561268620856,0.9569444444444445,3.58,109.1,18
106,3217,145,27,22470.0,0.9072561268620856,0.9569444444444445,3.01,109.1,26
114,3062,141,25,22625.0,0.9072561268620856,0.9569444444444445,3.78,109.1,19
